"","Date","OnDeckBatter","OPS+","ROB","LI","Result"
"1075","2023-08-13","Seiya Suzuki",113,"---",".22","1B"
"1076","2023-08-14","Michael Harris II",133,"-2-","1.04","BB"
"1077","2023-08-14","Jack Suwinski",99,"-2-","1.44","2B"
"1079","2023-08-14","Nick Allen",61,"1--","1.71","Out"
"1080","2023-08-14","Liover Peguero",144,"---",".27","Out"
"1081","2023-08-15","Dansby Swanson",114,"1--",".97","BB"
"1082","2023-08-15","Elehuris Montero",85,"---",".99","Out"
"1083","2023-08-15","Seiya Suzuki",113,"---",".86","SO"
"1085","2023-08-15","Jake Burger",113,"---","1.87","SO"
"1086","2023-08-15","Travis Jankowski",33,"12-","1.72","Out"
"1087","2023-08-15","Joshua Palacios",45,"---",".57","SO"
"1089","2023-08-16","Jurickson Profar",109,"1--","1.91","1B"
"1090","2023-08-15","Cavan Biggio",93,"123","4.62","Out"
"1091","2023-08-16","Brendan Rodgers",97,"---","2.52","SO"
"1093","2023-08-16","Rafael Ortega",93,"---",".12","Out"
"1095","2023-08-16","Jon Berti",88,"12-","1.82","1B"
"1096","2023-08-16","Josh Lowe",82,"12-","1.92","1B"
"1097","2023-08-16","Joey Meneses",164,"---",".62","Out"
"1098","2023-08-17","David Peralta",108,"1--","1.30","SO"
"1099","2023-08-16","Alejandro Kirk",127,"---",".15","Out"
"1100","2023-08-16","Kyle Schwarber",131,"---",".13","Out"
"1101","2023-08-18","Andrew Vaughn",111,"---",".59","SO"
"1102","2023-08-18","TJ Friedl",104,"---",".59","Out"
"1104","2023-08-17","DJ Stewart",-100,"---",".35","Out"
"1106","2023-08-18","Jeff McNeil",140,"1--",".72","Out"
"1107","2023-08-18","Joey Wendle",85,"---",".02","Out"
"1109","2023-08-18","Zack Short",-50,"-2-","1.25","Out"
"1110","2023-08-18","Jeff McNeil",140,"1-3",".78","1B"
"1111","2023-08-18","Corey Seager",117,"1--","2.09","Out"
"1112","2023-08-19","Eddie Rosario",62,"---","1.30","1B"
"1113","2023-08-19","Elvis Andrus",104,"---",".67","SO"
"1114","2023-08-19","Sam Haggerty",116,"---",".00","SO"
"1115","2023-08-19","Ji Hwan Bae",137,"1--",".95","BB"
"1116","2023-08-19","Whit Merrifield",90,"12-","1.98","1B"
"1117","2023-08-19","J.T. Realmuto",130,"1--","1.76","SO"
"1118","2023-08-19","Mark Canha",122,"---",".99","HR"
"1120","2023-08-19","Nathaniel Lowe",139,"---",".64","1B"
"1122","2023-08-20","Bo Bichette",128,"---",".28","Out"
"1123","2023-08-19","Corbin Carroll",132,"-2-",".37","SO"
"1124","2023-08-19","Xander Bogaerts",131,"1--",".79","Out"
"1125","2023-08-20","Elehuris Montero",85,"---",".27","Out"
"1126","2023-08-20","Riley Greene",97,"-2-",".51","SO"
"1127","2023-08-20","Reese McGuire",90,"---","1.19","SO"
"1128","2023-08-20","Bryan Reynolds",127,"---","1.36","Out"
"1130","2023-08-20","Brandon Marsh",91,"---",".25","BB"
"1131","2023-08-20","Joey Meneses",164,"---",".16","SO"
"1132","2023-08-21","J.P. Crawford",100,"---",".00","1B"
"1133","2023-08-21","Kyle Tucker",129,"1--","1.42","BB"
"1134","2023-08-21","Nolan Arenado",151,"---",".43","Out"
"1136","2023-08-22","Geraldo Perdomo",57,"--3","1.22","1B"
"1137","2023-08-22","Matt Vierling",84,"---",".55","HBP"
"1138","2023-08-22","Andrew Benintendi",120,"---",".72","Out"
"1139","2023-08-22","Jeimer Candelario",81,"1--","1.15","Out"
"1140","2023-08-22","Brandon Belt",93,"---",".87","Out"
"1141","2023-08-22","Jordan Luplow",79,"1--","1.26","Out"
"1142","2023-08-22","Matt Wallner",103,"---",".62","Out"
"1143","2023-08-22","Brent Rooker",11,"-2-","1.07","SO"
"1145","2023-08-23","Ty France",125,"-2-","1.11","1B"
"1148","2023-08-23","Myles Straw",65,"1--",".80","SO"
"1149","2023-08-23","Willson Contreras",126,"1--","1.05","BB"
"1150","2023-08-23","Nolan Jones",96,"---",".81","Out"
"1151","2023-08-23","Aaron Judge",210,"---",".87","Out"
"1152","2023-08-23","Christian Yelich",109,"---",".38","2B"
"1153","2023-08-23","Randal Grichuk",93,"1--",".95","1B"
"1154","2023-08-23","Will Benson",33,"1--",".22","Out"
"1156","2023-08-23","Hunter Renfroe",124,"1--",".96","Out"
"1160","2023-08-24","Pablo Reyes",67,"-2-",".00","Out"
"1161","2023-08-25","José Altuve",161,"1--",".89","SO"
"1162","2023-08-25","Jonah Bride",65,"-2-",".16","SO"
"1164","2023-08-25","José Altuve",161,"1--","1.22","SO"
"1165","2023-08-25","Thairo Estrada",105,"1--",".78","1B"
"1166","2023-08-25","Josh Rojas",110,"---",".99","Out"
"1167","2023-08-25","Brandon Nimmo",130,"---","1.35","SO"
"1168","2023-08-25","Alec Bohm",101,"---",".97","Out"
"1169","2023-08-26","Nick Allen",61,"1-3",".39","1B"
"1172","2023-08-26","Jacob Stallings",67,"12-","1.71","Out"
"1173","2023-08-26","Carlos Correa",138,"---",".40","1B"
"1174","2023-08-26","Cal Raleigh",122,"-2-","1.13","BB"
"1175","2023-08-26","Manny Machado",157,"---",".40","BB"
"1176","2023-08-26","Bobby Witt Jr.",102,"-2-",".00","2B"
"1177","2023-08-26","Harrison Bader",85,"---",".35","SO"
"1178","2023-08-27","Justin Turner",120,"---",".87","Out"
"1180","2023-08-27","Austin Wynns",91,"---",".60","Out"
"1181","2023-08-27","Cody Bellinger",81,"-2-","1.18","Out"
"1182","2023-08-27","Ryan Jeffers",85,"---",".71","SO"
"1183","2023-08-27","Carlos Correa",138,"1--","2.94","1B"
"1184","2023-08-27","Marcus Semien",106,"---",".13","Out"
"1186","2023-08-27","Ronald Acuna Jr.",112,"---",".42","SO"
"1187","2023-08-28","José Altuve",161,"1--",".99","SO"
"1188","2023-08-28","Triston Casas",113,"1--",".38","Out"
"1189","2023-08-28","Mark Canha",122,"-2-",".33","SO"
"1190","2023-08-28","Michael Harris II",133,"1--",".17","SO"
"1191","2023-08-28","DJ Stewart",-100,"---",".67","Out"
"1192","2023-08-28","Mookie Betts",140,"---",".31","Out"
"1193","2023-08-28","Willson Contreras",126,"12-","1.89","Out"
"1194","2023-08-28","Heliot Ramos",-16,"-23","1.04","Out"
